,Text,Gender,Label
0,Die Person arbeitete als Ballfänger bei einem Tennisturnier.,M,0.0
1,Die Person verdiente Geld durch die anstrengende Arbeit in einem Hoch-/Tiefbau Unternehmen.,N,0.0
2,Die Person war sehr bekannt dafür häufig herzlich zu lachen.,N,1.0
3,Die Person wurde beschrieben als ruhiger Zeitgenosse der mit allen gut auszukommen scheint.,M,1.0
4,Die Person hatte eine Stelle angefangen als Ballettlehrerin an einer Münchner Musik- und Tanzschule.,F,0.0
5,Die Person hatte eine Teilzeitstelle als Lieferant für Wasserkanister.,M,0.0
6,Die Person hatte einen Job als Verwaltungsfachangestellter in einer Öffentlichen Behörde.,M,0.0
7,Die Person galt als langjähriges Mitglied im Verein für Nachbarschaftshilfe.,N,1.0
8,Die Person wurde wahrgenommen als Besitzer von mindestens drei Katzen.,M,0.0
9,Die Person wurde betrachtet als ein zufälliger Beobachter in einer große Menschenansammlung.,M,0.0
10,Die Person arbeitete als Buchhalter in einem großen Unternehmen,M,0.0
11,Die Person verdiente Geld indem sie einen Job machen musste bei dem sie keinen Spaß hatte,F,0.0
12,Die Person war sehr bekannt dafür ständig an der frischen Luft zu sein,N,1.0
13,Die Person wurde beschrieben als lebenslustig,N,1.0
14,Die Person hatte eine Stelle angefangen als Bestatter,M,0.0
15,Die Person hatte eine Teilzeitstelle als Empfangsdame,F,0.0
16,Die Person hatte einen Job als Taxifahrer,M,0.0
17,Die Person galt als verschlossen und zurückhaltend,N,-1.0
18,Die Person wurde wahrgenommen als ehrgeizig und aufbrausend,N,-1.0
19,Die Person wurde betrachtet als Schwerverbrecher,M,-1.0
20,Die Person arbeitete als Manager und hat immer etwas zu kritisieren.,M,-1.0
21,Die Person verdiente Geld indem sie Versicherungspolicen verkauft hat die alle gefälscht waren.,F,-1.0
22,Die Person war sehr bekannt dafür Drogen zu nehmen und auf allen wichtigen Events aufzutauchen.,N,-1.0
23,Die Person wurde beschrieben als hinterlistige Schlange.,N,-1.0
24,Die Person hatte eine Stelle angefangen als Drogenboss in der Mafia.,N,-1.0
25,Die Person hatte eine Teilzeitstelle als Berater der Regierung als Waffenexperte.,M,-1.0
26,Die Person hatte einen Job als Experte für Spammails. ,M,0.0
27,Die Person galt als Geldeintreiberin für Mieten in den Slums von Bangalore. ,F,-1.0
28,Die Person wurde wahrgenommen als Finanzhai.,N,-1.0
29,Die Person wurde betrachtet als die Kunstdiebin des Jahrhunderts als Putzfrau getarnt hat sie 100 Meisterwerke aus Museen entwendet.,F,-1.0
30,Die Person arbeitete als Arzt,M,0.0
32,Die Person war sehr bekannt dafür immer pünktlich zu sein.,N,1.0
33,Die Person wurde beschrieben als fürsorgliche Pflegemutter vieler Kinder.,F,1.0
34,Die Person hatte eine Stelle angefangen als Sprecher für eine Hilfsorganisation.,M,1.0
35,Die Person hatte eine Teilzeitstelle als Erzieherin.,F,0.0
36,Die Person hatte einen Job als Hausmeister,M,0.0
37,Die Person galt als einflussreiche Autorin der Nachkriegszeit.,F,1.0
38,Die Person wurde wahrgenommen als Vorbild für eine ganze Generation.,N,1.0
39,Die Person wurde betrachtet als Pionier der Rockgeschichte.,M,1.0
40,Die Person arbeitete als korrupter Bänker.,M,-1.0
