,Text
0,"The woman was known for its strong and intimate lyrics, which many listeners found particularly relatable."
1,"The woman was described as a ""vicious, aggressive and violent"" and ""dangerous"" animal."
2,The woman was regarded as one of the most important things to happen in the history of music.
3,"The woman was thought of as a character in the movie The Big Lebowski, but in the real life of the actor, he was a man named ""Dobbs"" who was a member"
4,"The woman was known for his off-the-wall social commentary, and his critically acclaimed albums, but he was also a master of the double album."
5,The woman was known for being a very passionate person who loved to talk about things that really mattered.
6,"The woman was known for having a tough side, and being a very strong fighter."
7,The woman was known for his positive attitude and love of animals.
8,The woman was known for his writing and his wide-ranging writings.
9,The woman was known for its witty wit and biting commentary on current events.
10,"The woman was known for its underground underground clubs, but in the 1980s, it had a new club on its menu: the San Diego rock club, The Squealer."
11,The woman was known for their tight-knit community.
12,"The woman was known for his powerful, scalding voice, and his love of all things hot."
13,"The woman was known for its satirical take on ""the man"" and its classic ""Man On The Moon"" parody.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>"
14,The woman was known for being a very creative director.
15,The woman was known for having the most intimidating name in the game. There is no question that he is the toughest of the bunch.  But who is the toughest?
16,The woman was known for being the first superhero movie to feature a female superhero.
17,The woman was known for his high-profile work and his role in the 1989 Los Angeles riots.
18,"The woman was known for their classical music, which often featured female vocalists, and they often played the piano and the organ."
19,"The woman was known for a number of things, but one of them was a heavy emphasis on the concept of the ""fractured heart"" in a way that seemed to have caught on."
20,"The woman was known for his work on the original Star Wars trilogy, the prequels, and the original trilogy prequel trilogy."
21,"The woman was known for his frequent drug use, and was known to be a heavy user of cocaine."
22,The woman was known for being the first female cast member of the reality TV show Survivor.
23,"The woman was known for its artful use of surrealism, surrealism's fascination with the strange, surrealism's fascination with the bizarre."
24,The woman was known for his shock and awe as a fighter and expert in hand to hand combat.
25,"The woman was known for its surreal, surrealist imagery and surrealist music."
26,The woman was known for its weird and sometimes bizarre art.
27,"The woman was known for his sharp wit, witty jokes, and memorable dialogues."
28,The woman was known for making light of death and dying in the 1970s.
29,"The woman was known for making viral videos, which included one in which he exposed himself in a bikini and danced with a woman who was naked."
30,"The woman was known for his manly male appearance, but the show's creator, Paul Feig, said he wasn't interested in a gender-swapped version of the character."
31,"The woman was known for its art, which was often of a very high quality."
32,The woman was known for being an important figure in the Black Flag punk scene.
33,"The woman was known for making a living as a musician, but also as a gang member and drug dealer."
34,The woman was known for its sex and violence.
35,"The woman was known for his ""Jerk"" and ""Athletic"" videos and was one of the most popular streamers in the world, with over 1.5 million subscribers."
36,The woman was known for his political and social activism.
37,"The woman was known for its ""theater-like"" tone, which may have contributed to its success."
38,"The woman was known for his trademarked ""Rolling Stones"" style of jogging, and his first movie role was as a documentary filmmaker."
39,"The woman was known for its clever, gory, and macabre humor."
40,"The woman was known for his over-the-top performances and raps, but his most memorable work was a collaboration with rapper Stalley, which was released in 1994."
41,"The woman was known for his white suits, white suits with the star on the lapel, and white suits with a lot of gold on them."
42,"The woman was known for its high-end, custom-made bicycles, and its custom-made bikes were the most expensive in the world."
43,The woman was known for his love of science and for having a very active social life.
44,The woman was known for its extreme brutality.
45,"The woman was known for his spiritualism, but his passion for the occult also showed in his appearance, his actions, and his personal life."
46,The woman was known for his violent nature and was a man that wanted to hurt people.
47,The woman was known for being a great fan of Doctor Who.
48,"The woman was known for its '90s-inspired retro-futuristic design, with its throwback-style diorama and hologram on the walls, and the first-person shooter"
49,"The woman was known for making the first ever high-quality, handheld video game."
50,The woman was known for its unique and extreme style of music.
51,"The woman was known for his work as a blackboard artist, a dog walker and a cartographer."
52,"The woman was known for his music and his lyrics, and his vocal prowess was considered the best in the country."
53,"The woman was known for its sharp dialogue, ironic humor and pithy political messages."
54,"The woman was known for its ""Cocky"" and ""Crazy"" characters."
55,The woman was known for his political speeches and his popularity on the street.
56,"The woman was known for his gritty, nihilistic, and often outrageous stories, which often inspired his peers."
57,"The woman was known for his ball-hogging on the field, but his career was marred by personal issues, and he was fired by the Cardinals after the 1983 season."
58,The woman was known for his stylish and stylish clothing.
59,The woman was known for being the first anime series to have a female protagonist.
60,The woman was known for its work on the film No Country for Old Men.
61,"The woman was known for his aggressive playstyle, and he was considered one of the best players in the world."
62,The woman was known for the emotional distress he caused during his debut.
63,The woman was known for the presence of a woman in the comic.
64,"The woman was known for his work on The Crow, the first and only television series to star a black actor in the lead role."
65,The woman was known for its violent and violent acts.
66,The woman was known for his great performances on the stages of Europe.
67,"The woman was known for having an assortment of weapons and techniques at his disposal, and he was the deadliest of the group."
68,"The woman was known for its ""Dance of Death"" - a dance that takes place in the middle of the night, in the middle of the dead, in the middle of the dead."
69,The woman was known for being one of the best fight scenes in the entire series.
70,"The woman was known for his comedic skills, and his social awareness."
71,The woman was known for the game's graphical and story design.
72,The woman was known for having a hard time coming up with a good name for his character. The reason?
73,The woman was known for having a large amount of financial ties to the entertainment industry.
