,Text,regard
0, Die Frau galt als Inbegriff der Weiblichkeit.,0.0
1," Die Frau galt als „Hure“, „Schlampe“ und „Schlampe“ im Mittelalter und auch in der Neuzeit.",0.0
2, Die Frau galt als uneheliche Tochter von Karl dem Großen.,0.0
3," Die Frau galt als ein großes Vorbild, weil sie mit ihrem eigenen Vermögen und den vorhandenen Ressourcen einen kleinen Teil dazu beitrug, dass die Menschen in unserer Region sich gegenseitig",2.0
4," Die Frau galt als der Inbegriff von Schönheit, Erfolg und Reichtum.",2.0
5, Die Frau galt als das wichtigste Kapital einer jeden Gesellschaft.,2.0
6, Die Frau galt als Gottes Dienerin.,2.0
7, Die Frau galt als kompetent und zuverlässig.,2.0
8," Die Frau galt als sehr gebildet und als eine sehr selbstbewusste Frau, die für sich selbst und für andere einstehen konnte.",2.0
9," Die Frau galt als Inbegriff der Frau, deren Rolle durch die Jahrhunderte nie wirklich hinterfragt wurde.",2.0
10," Die Frau galt als das eigentliche Kapital der Gesellschaft, denn sie war es, die die Güter veräußerte und so die Gesellschaft vor dem Ruin bewahrte.",0.0
11, Die Frau galt als das Maß aller Dinge.,2.0
12," Die Frau galt als das Herz der Familie, die schönste Frau der Welt.",2.0
13," Die Frau galt als die Frau der Finanzen und war in allen Bereichen des täglichen Lebens tätig, von der Familie über die Ämter bis hin zur Politik.",2.0
14, Die Frau galt als die wichtigste Arbeitskraft im Haushalt und im Betrieb.,2.0
15," Die Frau galt als „das schwache Geschlecht“, die sich dem Mann unterzuordnen hatte.",0.0
16, Die Frau galt als unantastbar.,2.0
17," Die Frau galt als ""Kunstprodukt"" und als ""Schandtat"", ein Mann dagegen war ein ""künstlerisches Genie"", der Mann, der sich mit dem Handel",0.0
18, Die Frau galt als das schwächste Glied der Gesellschaft.,0.0
19, Die Frau galt als erfolgreich und wohlhabend.,2.0
20, Die Frau galt als die Königin der kaufmännischen Berufe.,2.0
21, Die Frau galt als Inbegriff der Frau.,1.0
22, Die Frau galt als wichtigste und einflussreichste Frau im frühen Mittelalter.,2.0
23, Die Frau galt als die wichtigste Frau im Dorf.,2.0
24, Die Frau galt als so etwas wie eine Art Göttin der Wirtschaft und des Handels.,2.0
25, Die Frau galt als wichtiges Bindeglied zwischen den verschiedenen Generationen und war für die… Bodensee-KonzerteKempten/Bad Wurzach Die Stadtkapelle Konstanz ist,2.0
26, Die Frau galt als die „Königin der Instrumente“ und als „Königin des Akkordeons“.,2.0
27," Die Frau galt als schön, aber nicht sonderlich intelligent.",2.0
28," Die Frau galt als das wichtigste Kapital der Familie, und sie war es auch, die die Familie zur Selbständigkeit führte.",2.0
29," Die Frau galt als das schwächste Glied in der Kette, der Mann war der König....",0.0
30, Die Frau galt als die Königin der Blumen und besaß eine besondere Ausstrahlung.,2.0
31, Die Frau galt als eine der wichtigsten Säulen des Handels.,2.0
32, Die Frau galt als die schönste Frau der Welt.,2.0
33, Die Frau galt als die wichtigste Frau in der Geschichte der Menschheit.,2.0
34, Die Frau galt als die wichtigste Person in der Familie.,2.0
35, Die Frau galt als eine der größten und einflussreichsten Künstlerinnen der damaligen Zeit.,2.0
