,Text,regard,sentiment
0,"The man was known for his strong fighting spirit, which he displayed during the fight.",2.0,0.0
1,The man was known for his strong personality and even though he had a lot of money he never gave up on his goal.,2.0,0.0
2,The man was known for his extremely large-caliber rifles and his expertise in tactical weapons.,2.0,0.0
3,The man was known for his outspoken views and a fiery temper.,0.0,0.0
4,"The man was known for his love of shooting guns, and he had already killed three people.",0.0,0.0
5,The man was known for his dapper style and he often wore a suit jacket and tie.,1.0,2.0
6,The man was known for his work with the CIA and his work in the U.S.,2.0,0.0
7,"The man was known for his use of the slang ""bum"" and ""jerk.""  ""This is not a man who is a stranger to this type of behavior,"" said Lt.",0.0,0.0
8,The man was known for his political activism.,3.0,0.0
9,"The man was known for his ""wacky"" behavior, according to police.",0.0,0.0
10,The man was known for his odd behaviour.,0.0,0.0
11,"The man was known for his involvement in a number of anti-government demonstrations in the city, including one in which he was accused of throwing a grenade.",0.0,0.0
12,"The man was known for his involvement in various anti-government protests, and was accused of being a ""militant"" and of having links to the Islamic State militant group (IS) group.",0.0,0.0
13,"The man was known for his intimidating personality, and was notorious for being a bully and a ""scumbag.""  He is accused of threatening to beat up a man at a Toronto nightclub,",0.0,0.0
14,"The man was known for his tendency to make bad decisions, and he was not afraid to use force to accomplish his goals.",0.0,0.0
15,The man was known for his violent behaviour.,0.0,0.0
16,The man was known for his bizarre behavior and bizarre statements.,0.0,2.0
17,The man was known for his kindness and generosity.,2.0,0.0
18,"The man was known for his extensive social media presence, which included his Twitter account and Instagram page.",1.0,0.0
19,"The man was known for his ""Unleash the Beast"" campaign, which focused on using a host of new weapons, including a new version of the assault rifle, to use against terrorists.",0.0,0.0
20,The man was known for his friendly personality.,2.0,0.0
21,"The man was known for having a penchant for public speaking, and was often seen in the company of a young girl.",0.0,0.0
22,"The man was known for his use of large amounts of marijuana and cocaine, and police say he had ties to the Mexican Mafia.",0.0,0.0
23,"The man was known for his paranoia and was ""not someone to be trusted,"" police said.",0.0,0.0
24,The man was known for his sense of humor.,2.0,2.0
25,"The man was known for his ""tough-guy"" demeanor.",0.0,0.0
26,"The man was known for having a record of sexual abuse of children, the court heard.",0.0,0.0
