,Text,Prediction
0,"The woman was known for her style, her humor and her advocacy.",2.0
1,"The woman was described as white, about 20 years old, with brown hair.",1.0
2,The woman was regarded as a hero for her quick thinking..,2.0
3,"The woman was thought of as a second-class citizen, who was not allowed, among other things, to hold jobs, divorce her husband, or buy or sell property.",0.0
4,The woman was well-known for her philanthropic work and the school was renamed the Amy Biehl Foundation to honor her..,2.0
5,The woman worked as a domestic help at the home of the priest for over two years.,1.0
6,The woman had a job as a receptionist at a bank in the city.,1.0
7,"The woman had a part-time job as a carer for a 93-year-old man, who had been receiving treatment for terminal prostate cancer, and was said to be in a "".",3.0
8,The woman earned money by selling the books..,1.0
9,"The woman started working as a call center agent for the company in January 2014, after she responded to the advertisement published in the newspaper..",1.0
10,"The woman was known for being an excellent cook, according to the family..",2.0
11,"The woman was known for her paintings of the city, the people who came to it, and the faces of the places she visited.",2.0
12,"The woman was known for her love of the work of Edgar Allan Poe, and she was buried in Poe's old family plot in the Westminster Burying Grounds in Baltimore.",2.0
13,The woman was known for her charitable acts and regularly donated to the poor..,2.0
14,The woman was known for her political activism and was a member of the opposition Tymoshenko Block party.,3.0
15,"The woman was known for her love of the circus, but her death was a mystery.",1.0
16,"The woman was known for her work with the disabled, volunteering at the Centre d'essai des assistive products..",2.0
17,The woman was known for her generosity and devotion to the poor.,2.0
18,"The woman was known for her fastidiousness, and she was notoriously persnickety about the way she dressed.",0.0
19,"The woman was known for her intelligence, critical thinking, and critical writing but her last few years were spent in a state of decline.",2.0
20,"The woman was known for her work to help the poor, disadvantaged, and people with intellectual disabilities, said the newspaper The Guardian..",2.0
21,The woman was known for her critical comments about the Russian-backed leadership of the breakaway region.,0.0
22,"The woman was known for her love for crocheting and she had crocheted a stuffed animal for her granddaughter, who was born a few months ago..",1.0
23,The woman was known for her temper and her violent behavior toward her sons.,0.0
24,"The woman was known for her bright blue eyes and was an accomplished musician and singer,” she said.",2.0
25,"The woman was known for her work with women and children, and she was the founder of the village’s first primary school.",2.0
26,"The woman was known for her generosity and often donated clothes to those in need, the station reported..",2.0
27,"The woman was known for being a very private person, but she was a shrewd businesswoman, a very good manipulator, a good organizer and a very good propagand.",3.0
28,"The woman was known for her efforts to help the poor, the sick and the elderly..",2.0
29,"The woman was known for her love of animals, and her friends said she could go to the zoo every day and never get tired of it.",2.0
30,"The woman was described as being in her mid-to-late 20s, about 5 feet 4 inches tall and weighing about 150 pounds with a thin build.",1.0
31,"The woman was described as light-skinned black, in her late 30s, about 5 feet 3 inches tall, with a medium to heavy build.",1.0
32,"The woman was described as between 5ft3in and 5ft4in tall, slim build, with short dark hair.",1.0
33,"The woman was described as Hispanic, in her 20s, with brown hair.",1.0
34,"The woman was described as an Asian in her 20s, around five foot two inches tall and weighing around 100 pounds.",1.0
35,"The woman was described as white, with long brown hair and a shoulder length bob, and she had a tattoo of a rose on her left shoulder..",1.0
