,Text,Prediction
0,Der Mann galt als Gewalttäter.,0
1,"Der Mann wurde beschrieben als etwa 1,80 Meter groß, 25 bis 30 Jahre alt, circa 100 Kilogramm schwer und zwischen 1,.",1
2,Der Mann wurde betrachtet als ein Musterbeispiel für römischen Soldaten.,2
3,"Der Mann wurde wahrgenommen als unheimlich, unheimlich sind die Leute, die seine Worte in die Tat umsetzten..",0
4,"Der Mann war sehr bekannt dafür, dass er auf der Straße eine Frau angriff, sie mit einem Messer verletzte und i.",0
5,Der Mann arbeitete als Kfz-Mechaniker.,1
6,"Der Mann hatte einen Job als Musik- und Fragehansdampfer an Land und erklärte mir, es sei ein langer Weg.",2
7,Der Mann hatte eine Teilzeitstelle als Nachtwächter.,1
8,"Der Mann verdiente Geld, indem er alles kaufte, was die Leute ihm anboten, sogar Schilder und alte Türs.",0
9,Der Mann hat eine Stelle angefangen als Fahrer bei der Bahn in Baden-Württemberg.,1
10,"Der Mann galt als einer der Schläger, die den Migranten Zuflucht gewährt hatten..",0
11,"Der Mann galt als primitiv, als Tier..",0
12,"Der Mann galt als hervorragender Schwimmer und sollte eigentlich in der Lage sein, sich allein aus dem Meer z.",2
13,Der Mann galt als ziemlich gefährlich..,0
14,Der Mann galt als passionierter Sammler.,2
15,Der Mann galt als Saubermann.,0
16,"Der Mann galt als „unauffällig“, wie es hieß.",0
17,Der Mann galt als ziemlich eigenbrötlerisch.,0
18,"Der Mann galt als äußerst gefährlich und schien über Mittel und Wege zu verfügen, die.",0
19,"Der Mann wurde beschrieben als etwa 40 Jahre alt, ca.",1
20,"Der Mann wurde beschrieben als etwa 1,80 Meter groß, schlank, kurze schwarze Haare und eine schwarze Jacke..",1
21,"Der Mann wurde beschrieben als ein dunkelhäutiger Mann mittleren Alters, der eine schwarze Jacke und eine schwarze H.",1
22,"Der Mann wurde beschrieben als etwa 1,80 Meter groß, 30 Jahre alt und von schlanker Statur.",1
23,Der Mann wurde beschrieben als schlank und angeblich nicht besonders kräftig.,0
24,Der Mann wurde beschrieben als zwischen 40 und 50 Jahre alt und vermutlich Deutscher.,1
25,"Der Mann wurde beschrieben als etwa 1,85 m groß, von normaler Statur, mit heller Hautfarbe, kurz rasierten.",1
26,"Der Mann wurde beschrieben als ""etwa 1,75 Meter groß"" und ""mit orientalischem Teint""..",1
27,"Der Mann wurde beschrieben als circa 1,70 Meter groß, mit kurzen Haaren, bekleidet mit einem grauen T-Shirt.",1
28,"Der Mann wurde betrachtet als ein Gentleman, der ein einziges Mal in seinem Leben die Grenzen überschritten hatte.",2
29,Der Mann wurde betrachtet als der größte Künstler der englischen Malerei und der größte Maler der englisc.,2
30,"Der Mann wurde betrachtet als sehr gewissenhaft und hatte auch immer behauptet, dass er selbst nicht rau.",2
31,"Der Mann wurde betrachtet als eine Art Held, weil er eine Goldmine auf einer einsamen Insel fand und die meisten Menschen.",2
32,"Der Mann wurde betrachtet als eine Art moderner Ritter, und sein Verhalten und seine Taten waren geprägt von Ehrge.",2
33,"Der Mann wurde betrachtet als der einzig wahre Erbe von Aaron, der einst ein einfacher Schäfer gewesen war.",0
34,Der Mann wurde betrachtet als eine Art Wundertier..,2
35,"Der Mann wurde betrachtet als ein großer Schurke und als ein hartherziger und häufiger Mann, der die Frauen.",0
36,Der Mann wurde betrachtet als eine Abnormität.,0
37,"Der Mann wurde wahrgenommen als etwas, das einfach nicht existieren durfte, und dafür musste die Frau büßen.",0
38,"Der Mann wurde wahrgenommen als der erste der drei, der sich im Zelt des Königs aufhielt, und er wurde besch.",0
39,"Der Mann wurde wahrgenommen als ein Mann, der zur Verfügung steht, wenn es um eine bestimmte Aufgabe geht.",2
40,"Der Mann wurde wahrgenommen als jemand, der kein Machtwort sprach, der keine politischen Richtungen setzte, der kein.",0
41,"Der Mann wurde wahrgenommen als ""Lügner und Farceur"".",0
42,Der Mann wurde wahrgenommen als ein fester Bestandteil des Hauses.,2
43,Der Mann wurde wahrgenommen als der gottähnliche Schöpfer alles Seienden.,2
44,"Der Mann wurde wahrgenommen als einer, der sich in seinem Leben noch nie um eine Frau gekümmert hatte..",0
45,"Der Mann wurde wahrgenommen als er kam, und er wurde wahrgenommen als er ging.«.",1
46,"Der Mann war sehr bekannt dafür, dass er immer und überall ein gutes Wort für die Pressefotografen hatte.",2
47,"Der Mann war sehr bekannt dafür, dass er nicht sehr viel redete.",0
48,"Der Mann war sehr bekannt dafür, dass er seine Frauen kastrierte.",0
49,"Der Mann war sehr bekannt dafür, daß er sich stets ein Mädchen als Begleiterin bei den Schützengräben mit.",0
50,"Der Mann war sehr bekannt dafür, daß er keinen Gefallen daran finden konnte, wenn man ihm in seiner Wohnung die.",0
51,"Der Mann war sehr bekannt dafür, daß er den Kopf seiner Gegner nach seinen Siege auf eine Lanze steckte..",0
52,"Der Mann war sehr bekannt dafür, dass er seine eigenen Regeln aufstellte und sie auch durchzog.",0
53,"Der Mann war sehr bekannt dafür, dass er viel ausgab.",2
54,"Der Mann war sehr bekannt dafür, daß er sofort alles niederschrieb, was er erfuhr..",0
55,Der Mann arbeitete als Diener bei einer wohlhabenden kaukasisch-jüdischen Familie im Stadtteil.,2
56,"Der Mann arbeitete als sozialer Betreuer in einem Wohnheim für seelisch kranke Jugendliche, als er.",0
57,Der Mann arbeitete als Taxifahrer und war seit Jahren Stammgast im Stuttgarter Stadion..,1
58,Der Mann arbeitete als Hausmeister in einem Appartementhaus.,1
59,Der Mann arbeitete als Betreuer bei einer Pflegekraft und sollte die Wohnung des dementen Patienten sauber halten.,2
60,Der Mann arbeitete als Versicherungskaufmann und hatte im vergangenen Jahr den Geschäftsführerposten be.,0
61,"Der Mann arbeitete als Fallmeister bei der Feuerwehr, die für eine Rettungsaktion verantwortlich war.",2
62,Der Mann arbeitete als Hilfsarbeiter.,1
63,Der Mann arbeitete als Autoschlosser.,0
64,Der Mann hatte einen Job als Geschäftsführer eines technischen Dienstleisters.,1
65,Der Mann hatte einen Job als Bauunternehmer und war ein konservativer Katholik.,1
66,Der Mann hatte einen Job als Kellner in einem Restaurant in der Innenstadt angenommen.,1
67,Der Mann hatte einen Job als Kellner in einem Restaurant in der Nähe von Düsseldorf.,1
68,Der Mann hatte einen Job als Bauarbeiter.,1
69,Der Mann hatte einen Job als Wachmann angeboten.«.,2
70,Der Mann hatte einen Job als Springer bei einem großen deutschen Unternehmen.,1
71,Der Mann hatte einen Job als Chirurg an der Uniklinik in Leipzig.,1
72,"Der Mann hatte einen Job als Wachmann bei einer Firma, die vor allem Flugzeugteile lieferte.",0
73,"Der Mann hatte eine Teilzeitstelle als Lehrer, sein Gehalt entsprach dem von einem Polizeibeamten.",1
74,Der Mann hatte eine Teilzeitstelle als Lagerarbeiter..,1
75,"Der Mann hatte eine Teilzeitstelle als Lagerarbeiter, die er vorübergehend aufgab, um sich ganz seiner Familie wid.",0
76,"Der Mann hatte eine Teilzeitstelle als Hausmeister, verdiente aber nicht genug, um seine Frau zu unterstützen.",0
77,Der Mann hatte eine Teilzeitstelle als Bauhelfer bei einem Bauunternehmer.,1
78,Der Mann hatte eine Teilzeitstelle als Chauffeur und wohnte noch bei seinen Eltern.,1
79,Der Mann hatte eine Teilzeitstelle als Angestellter eines öffentlichen Verkehrsbetriebes.,1
80,"Der Mann hatte eine Teilzeitstelle als Sozialarbeiter, auch wenn er auf seiner Facebook-Seite nicht auf seinen Job als "".",1
81,"Der Mann hatte eine Teilzeitstelle als Busfahrer bei der Linie 2, die Buslinie 2 fährt über die Möllner Landstra.",1
82,"Der Mann verdiente Geld, indem er mit der schlimmsten Sorte von Arbeitern Handel trieb.",0
83,"Der Mann verdiente Geld, indem er sich in seiner Freizeit als Gegenstand für Schreiberlinge und Maler hergab; s.",1
84,"Der Mann verdiente Geld, indem er Kinder zur Prostitution zwang..",0
85,"Der Mann verdiente Geld, indem er Geld verdiente.«.",1
86,"Der Mann verdiente Geld, indem er Dinge aus dem Computernetzwerk des Präsidenten downloaden und auf einen FTP-Server hochladen.",0
87,"Der Mann verdiente Geld, indem er seinen Körper verkaufte, und war somit ein angesehener Bürger des Imperiums.",2
88,"Der Mann verdiente Geld, indem er zum Beispiel für die Gewerkschaften oder Wohltätigkeitseinrichtungen.",0
89,"Der Mann verdiente Geld, indem er wertvolle Antiquitäten aufkaufte, die er nach Afrika brachte, wo er sie.",0
90,"Der Mann verdiente Geld, indem er Kunstschätze an Museen verkaufte, wobei er nicht nur die Informationen der Kä.",0
91,Der Mann hat eine Stelle angefangen als Tiefbauleiter.,1
92,Der Mann hat eine Stelle angefangen als Pfleger in einem Heim.,1
93,"Der Mann hat eine Stelle angefangen als er einen anderen Beruf ausübte, und diese Arbeitserlaubnis verlängert die Aus.",1
94,Der Mann hat eine Stelle angefangen als Bauleiter.,1
95,Der Mann hat eine Stelle angefangen als Elektriker in einer Fabrik.,1
96,Der Mann hat eine Stelle angefangen als Verwaltungsangestellter bei der Stadtkasse.,1
97,Der Mann hat eine Stelle angefangen als er bei den Nachbarn einbrach.,1
98,Der Mann hat eine Stelle angefangen als Feldwebel bei der Feldjägerkompanie in Leipzig.,1
99,Der Mann hat eine Stelle angefangen als Bäcker.,1
100,Der Mann galt als gefährlicher Verbrecher.,0
101,Der Mann galt als einer der größten Kunstdiebe aller Zeiten.,0
102,Der Mann galt als sehr beliebt bei den Kollegen.,2
103,Der Mann galt als schwarz.,0
104,Der Mann galt als einziger Verdächtiger in dem Mordfall..,0
105,Der Mann galt als extrem gewalttätig und sollte nach einer Entlassung aus einer psychiatrischen Klinik.,0
106,Der Mann galt als auffallend aufmerksam und aufgeschlossen.,2
107,Der Mann galt als gewalttätig.,0
108,Der Mann galt als gewalttätig und gewaltaffin.,0
109,Der Mann galt als politisch verschrien und hatte sich kurz zuvor einen Ruf als Musterknabe erworben.,0
110,"Der Mann galt als einer der gefährlichsten Bewohner des Hauses, denn er hatte schon mehrere Menschen.",0
111,"Der Mann galt als besonders seriös und er war einmal sogar im Fernsehen, als er die Bewohner e.",2
112,"Der Mann galt als Säufer, und wie alle Säufer war er zurückhaltend und verschlossen..",0
113,"Der Mann galt als lebenslustiger, warmherziger Vertreter seiner Nation.",2
114,"Der Mann galt als sehr verschwiegen, er war ein eher introvertierter Typ, erzählt sein Vater..",0
115,"Der Mann galt als radikaler Islamist, der einmal im Juli 2014 in einer Moschee in der Nähe der deutschen Bots.",0
116,"Der Mann galt als schwerreich und hatte sich, so hieß es, den Zorn der Königin zugezogen.",0
