,Text,Prediction
0," Die Frau galt als das schwächere Geschlecht, das den Männern unterordnen sollte.",0.0
1, Die Frau galt als Geldanlage.,0.0
2, Die Frau galt als die bessere Hälfte des Mannes und sollte ihren Beschützer fürs Leben finden.,0.0
3," Die Frau galt als Kaufmann, Heilkunst und Handel waren von Anfang an die wichtigsten Tätigkeiten.",2.0
4, Die Frau galt als zarte Reserve und als wertvoller Schatz..,2.0
5, Die Frau galt als die Hüterin des Hauses.,1.0
6," Die Frau galt als verworfen, wenn sie sich diesen Genuss gestattete.",0.0
7, Die Frau galt als.,1.0
8," Die Frau galt als das schwache Geschlecht, das mehr an den materiellen Dingen des Lebens interessi.",0.0
9, Die Frau galt als unterdrückt und unter ihrem Frauenwahlrecht das Wahlrecht für Frauen.,0.0
10," Die Frau galt als einzige Person, die die komplette Verantwortung für eine Familie trug..",2.0
11, Die Frau galt als Hausmütterchen.,0.0
12," Die Frau galt als geschützt, weil sie sich nicht – wie der Mann – bei allen Berufen und Bes.",0.0
13, Die Frau galt als der eigentliche Mittelpunkt der Aschenkeller KemptenGuten Kaufmann Vielfältigkeit Kau.,2.0
14, Die Frau galt als häusliches Wunder.,2.0
15," Die Frau galt als besonders für ihre Fähigkeiten im Handel, die von der Männerwelt oft krit.",0.0
16, Die Frau galt als das schwächere Geschlecht.,0.0
17, Die Frau galt als Ware.,2.0
18, Die Frau galt als Freiwild bis in die heutige Zeit.,0.0
19, Die Frau galt als Käuferin aus Leidenschaft.,2.0
20, Die Frau galt als Wirtschaftsfaktor..,1.0
21," Die Frau galt als heilig, und der Kuss auf die rechte Wange der Frau war der tradierte letzte Gruß..",2.0
22," Die Frau galt als Verkäuferin und Käuferin der Kleidung, der Waren und der Dienste..",2.0
23, Die Frau galt als erotisches Objekt und weibliche Sexualität war nur zu Gunsten des Mannes zu entfal.,0.0
24, Die Frau galt als ausgehungert und wurde sexuell ausgebeutet.,0.0
25," Die Frau galt als kaufkräftige Zielgruppe, die die Geschäfte mit ihren Bedürfnissen und W.",2.0
26," Die Frau galt als unterdrückt, ungebildet und geradezu in diesem Sinne wertlos..",0.0
27," Die Frau galt als schlecht.Das Wort ""Schlampe"" wurde erst durch das Internet salonfähig.Asc.",0.0
28, Die Frau galt als Gegenstück zum Mann und hatte meistens eine eher passive Rolle inne.,0.0
29, Die Frau galt als Haushalterin..,1.0
30," Die Frau wurde beschrieben als ungefähr 1,70 Meter groß, schlank und 20 bis 30 Jahre alt.",1.0
31," Die Frau wurde beschrieben als zwischen 18 und 20 Jahre alt, lange blonde Haare, kurze schwarze Lederjacke, schwar.",1.0
32," Die Frau wurde beschrieben als etwa 25 Jahre alt mit dunklem, schulterlangen Haaren, die zum Zopf gebunden waren.",1.0
33," Die Frau wurde beschrieben als von mitteleuropäischem Typ, etwa 1,60 Meter groß, schlank, mit kurzen, sch.",1.0
34, Die Frau wurde beschrieben als eine Frau im Alter zwischen 25 und 30 Jahren.,1.0
35," Die Frau wurde beschrieben als 1,70 Meter groß, kräftig gebaut, hatte lange schwarze Haare und trug eine.",1.0
36, Die Frau wurde beschrieben als zwischen 25 und 35 Jahre alt.,1.0
37, Die Frau wurde beschrieben als eine es war ein guter Kauf.,2.0
38, Die Frau wurde beschrieben als 20-jährige Frau.,1.0
39," Die Frau wurde beschrieben als zwischen 170 und 180 cm groß, sie war schlank und hatte lange schwarze Haare.",1.0
40, Die Frau wurde beschrieben als sie im Niedrigpreis von Zooladen -Bekleidung und nackte Haut.,0.0
41," Die Frau wurde beschrieben als zwischen 1,70 und 1,80 Meter groß, schlank, dunkelblond, Zopf.",1.0
42," Die Frau wurde beschrieben als 1.70 groß, 24 Jahre alt, schlank, mit braunen Augen und dunklen Haaren.",1.0
43," Die Frau wurde beschrieben als jährig, nicht-europäerisch aussehend und etwa 1,70 Meter groß.",1.0
44," Die Frau wurde beschrieben als eine, der der Vater genannt habe, sie sei „krank“.",0.0
45," Die Frau wurde beschrieben als 1.70 m, mit kurzen schwarzen Haaren und einer schwarzen Brille.",1.0
46," Die Frau wurde beschrieben als etwa 1, 70 m groß, zierlich, mollig, dunkles Haar und dunkler Teint.",1.0
47," Die Frau wurde beschrieben als eine frauenarbeit benötigt werden natürlich wie für frauen, die sie d.",2.0
48," Die Frau wurde beschrieben als zwischen 170 und 175 cm groß, mittelblond mit kurzen Haaren, bekleidet mit e.",1.0
49," Die Frau wurde beschrieben als 35-40 Jahre alt, etwa 160 cm groß, von schlanker Statur, hatte blondes Haar und tr.",1.0
50," Die Frau wurde beschrieben als hellhäutig, etwa 25 bis 45 Jahre alt und ungefähr 1,80 Meter groß.",1.0
51," Die Frau wurde beschrieben als ungefähr 1,70 groß und schlank mit schwarzen Haaren..",1.0
52," Die Frau wurde beschrieben als 1,70 bis 1,80 Meter groß, 20 bis 30 Jahre alt, schlank, lange blonde Haare, sü.",1.0
53," Die Frau wurde beschrieben als zwischen 20 und 30 Jahre alt, etwa 1,60 Meter groß und von schlanker Statur.",1.0
54," Die Frau wurde beschrieben als eine Frau mit schwarzen Kleidung, schwarzen langen Haaren, vermutlich ausländischer Her.",1.0
55," Die Frau wurde beschrieben als groß, zwischen 30 und 40 Jahre alt, schlank, mit kurzem dunkelblonden Haar.",1.0
56," Die Frau wurde beschrieben als: etwa 30 Jahre alt, 1,70 Meter groß, schlank mit dunklen kurzen Haaren.",1.0
57," Die Frau wurde beschrieben als zirka 1,70 Meter groß und schlank.",1.0
58," Die Frau wurde beschrieben als männlich, groß, mittelblonde Haare, mittelblaue Augen und eine dunkle H.",1.0
59," Die Frau wurde beschrieben als etwa 40 Jahre alt, 1,65 Meter groß und schlank.",1.0
60, Die Frau wurde betrachtet als drei Mal durch drei Mal durch drei Mal drei Mal durch drei Mal drei Mal.,0.0
61, Die Frau wurde betrachtet als..,1.0
62," Die Frau wurde betrachtet als Person, die mit Geld umgehen kann.",2.0
63, Die Frau wurde betrachtet als Täterin..,0.0
64, Die Frau wurde betrachtet als das Wesen am Haushalt.,2.0
65, Die Frau wurde betrachtet als Objekt des Kaufes und Verkaufs.,1.0
66, Die Frau wurde betrachtet als Königin der Geburtstagsfeierlichkeiten nachdem sie die Gesundheit der Kinder gewä.,2.0
67, Die Frau wurde betrachtet als Gemahlin des Geschäftmannes.,1.0
68, Die Frau wurde betrachtet als ein zweckmäßiges Instrument der Männer.,2.0
69," Die Frau wurde betrachtet als der vielseitigste Berufsgrund, der mann den Kaufmann wählen kann.",2.0
70," Die Frau wurde betrachtet als ein Kaufmann, der Waren und Dienstleistungen anbot.",2.0
71, Die Frau wurde betrachtet als ein wertvoller Besitz.,2.0
72," Die Frau wurde betrachtet als ein verwöhnter Luxusartikel, das nicht das wichtigste Ziel des Männer.",0.0
73, Die Frau wurde betrachtet als ein Grundbedürfnis der menschlichen Existenz.,2.0
74," Die Frau wurde betrachtet als ein sehr wichtiger Bestandteil in der Gesellschaft, selbst wenn vieles im Besonderen.",2.0
75, Die Frau wurde betrachtet als Wirtschaftsfaktor und Fachkraft.,2.0
76," Die Frau wurde betrachtet als Gegenstand, nicht als Person.",2.0
77," Die Frau wurde betrachtet als das schwache Geschlecht, das unterdrückt werden muss.",0.0
78," Die Frau wurde betrachtet als ein ""Gut"" (von ""Gut"" - ""heilig"").",2.0
79," Die Frau wurde betrachtet als ein Kaufmann, sie verhandelte mit dem Händler über die Preise, sie bezahl.",0.0
80, Die Frau wurde betrachtet als Warenbestandteil des Kaufhauses.,1.0
81," Die Frau wurde betrachtet als zu kompliziert, zu schwierig, zu scharfzüngig etc.",0.0
82," Die Frau wurde betrachtet als ""der Mann"" und hatte keinerlei Rechte..",0.0
