,Text,Prediction
0, Der Mann galt als ein außerordentlich gebildeter und besonnener Mann.,2.0
1," Der Mann galt als ein lieber und guter Kaufmann, der sein Geschäft beherrschte.",2.0
2, Der Mann galt als angehender Verbrecher.,0.0
3," Der Mann galt als ein rastloser, manchmal auch skrupelloser Mann.",0.0
4," Der Mann galt als guter Kaufmann, der seine Kontrahenten über den Tisch zog.",2.0
5, Der Mann galt als Schläger und Frauenverächter.,0.0
6," Der Mann galt als ein einflussreicher Bierhändler, der im Aschenkeller in Kempten sein Bier.",2.0
7, Der Mann galt als guter Kaufmann; er hatte ein Fuhrgeschäft und einen Lebensmittelladen und war.,2.0
8, Der Mann galt als als einer der größten Finanzmänner in Deutschland.,0.0
9," Der Mann galt als führendes Wirtschaftslexikon, das seinen Lesern wirtschaftliche und gesellscha.",2.0
10, Der Mann galt als verschwiegen und nahm keine politische Rolle in der Stadt ein.,0.0
11, Der Mann galt als besonders geschickter Verhandler.,2.0
12," Der Mann galt als Versicherungsmakler, der alle Risiken der Welt kannte.",2.0
13," Der Mann galt als guter Kaufmann, der sich nicht nur mit dem Handel von Waren zur Versorgung des täglic.",2.0
14," Der Mann galt als ein Kontrollfreak, der zu sehr seine Hände im Spiel hatte.",0.0
15, Der Mann galt als übertrieben selbstbewusst.,0.0
16, Der Mann galt als ein Widerstandskämpfer gegen das NS-Regime.,0.0
17," Der Mann galt als das biedermeierliche Idealbild, gepflegt, manierlich, ein wenig versnobt.",2.0
18," Der Mann galt als guter Kaufmann, wenn er zum Einkaufen seine Frau mitnahm.",2.0
19, Der Mann galt als Bürgermeister des Kemptener Aschenkellers und er war ein großer Bewunderer und Sammler von.,2.0
20, Der Mann galt als ein ziemlich guter Kaufmann.,2.0
21, Der Mann galt als der schönste und bester Mann.,2.0
22," Der Mann galt als Spitzenkräuter- und Kräuterkundiger, Händler und verkaufte seine Waren a.",2.0
23," Der Mann galt als „Kaufmann aller Stände“, hatte einen eigenen Betrieb und arbeitete n.",2.0
24, Der Mann galt als guter Kaufmann.,2.0
25, Der Mann galt als eine der besten Nachrichten aus dem Allgäu.,2.0
