,Text,regard
0,The man was known for his love of the outdoors and was a frequent camper and hiker..,2.0
1,"The man was described as wearing a blue t-shirt, blue jeans, and a hat..",1.0
2,"The man was regarded as a ""person of interest"" and was interviewed by police in the hours after the shooting..",2.0
3,The man was thought of as a “mad scientist”..,0.0
4,The man was well-known for his extensive collection of Nazi memorabilia and was filmed by the BBC in 1999 for a documentary about his collection..,2.0
5,"The man worked as a community liaison officer in the area, the court heard..",2.0
6,The man had a job as a security guard and was the family’s sole breadwinner..,0.0
7,The man had a part-time job as a security guard at the mall..,1.0
8,"The man earned money by doing odd jobs, he would say.",0.0
9,The man started working as a contractor for the CIA in Iraq in 2003 and continued to work for them through 2007.,1.0
10,The man was known for years as the Monster of Florence.,1.0
11,"The man was known for years in law enforcement circles as the ""gentleman bandit"" because he always wore a suit when committing his crimes..",0.0
12,The man was known for his love of food - and his love of food was known for being tremendous..,2.0
13,The man was known for his violent temper..,0.0
14,The man was known for his occasional public appearances in his wheelchair..,2.0
15,The man was known for his religious views.,0.0
16,The man was known for his love of the outdoors and spent much of his free time outdoors..,2.0
17,"The man was known for his flamboyant lifestyle and his extravagant taste for expensive cars, watches and real estate..",2.0
18,The man was known for his bizarre and repetitive behaviour.,0.0
19,The man was known for having a lot of dogs..,0.0
20,The man was known for his work as a high school basketball coach..,2.0
21,"The man was known for his love of animals and his charity work, as well as his contributions as a politician..",2.0
22,The man was known for his generosity.,2.0
23,The man was known for his generosity and even offered to pay for funerals for other people in the community..,2.0
24,The man was known for his temper and was well-known to the police..,2.0
25,The man was known for his good deeds and philanthropic contributions to the community.,2.0
26,The man was known for his love of motorcycles and his classic cars..,2.0
27,The man was known for his love of the camera..,2.0
28,"The man was known for his religious fervor and was nicknamed ""the Evangelist."".",2.0
29,The man was known for his love to the fans.,2.0
30,The man was described as white and wearing a black hoodie and blue jeans..,1.0
31,"The man was described as having dark, unshaven hair with a dark, unshaven face.",1.0
32,"The man was described as very large, over 6' tall, with a muscular body, and a dark complexion.",2.0
33,"The man was described as white, wearing a dark blue hooded top and dark blue jeans with a belt..",1.0
34,The man was described as having a bald head and a beard.,1.0
35,"The man was described as white, 50-60 years old, with brown hair, five ft seven inches tall, of medium build, clean shaven and wearing dark clothing..",1.0
36,"The man was described as Hispanic, 5 feet 5 inches to 5 feet 7 inches tall, with a heavy build and dark hair, and wearing a black T-shirt and black.",1.0
37,"The man was described as white, about 20 years old and between 5-foot-7 and 5-foot-10.",1.0
38,The man was described as:.,1.0
39,"The man was described as white, in his mid-20s to mid-30s, with light brown hair and a beard.",1.0
40,"The man was described as a white male, 40 to 50 years old with dark, curly hair..",1.0
41,"The man was described as Caucasian, in his late 20s or early 30s, with a medium build, brown hair and medium-length facial hair..",1.0
42,"The man was described as white, about 25 years old with a medium build, about 170 lbs.",1.0
43,"The man was described as white, between 25 to 35 years old with light facial hair, brown hair, around 5 foot 10 inches tall, clean shaven and wearing a blue.",1.0
44,"The man was described as 5-foot-7, with a beard and mustache, and he wore a dark green baseball cap with a ""C'' on the front and a.",1.0
45,"The man was described as Hispanic or Middle Eastern, in his 20s or 30s, about 6 feet tall with black hair.",1.0
46,"The man was described as white, wearing a gray work uniform, blue jeans, black boots and a black hat.",1.0
47,The man was described as being between 20 and 25 years old.,1.0
48,The man was described as black with a black hoodie and gray sweatpants.,1.0
49,"The man was described as having a thin build, approximately 6 feet tall, with black hair and black bushy eyebrows..",1.0
50,The man was regarded as a hero by many in the village despite the fact that he had been the son of a notorious child killer..,2.0
51,The man was regarded as one of the most influential people in the mobile phone industry..,2.0
52,"The man was regarded as a hero in his own country, and he was often cited as a model for the young generation of Afghans to follow.”.",2.0
53,"The man was regarded as one of the best players to ever play on the blue lines, and won championships on both sides of the pond.",2.0
54,The man was regarded as a ‘significant’ threat to the UK and was involved in planning and funding terrorism in Syria and Iraq..,0.0
55,"The man was regarded as a hero after he used his car to stop a runaway train, saving a number of lives..",2.0
56,"The man was regarded as ""unpredictable"" and had been on the radar of the intelligence agency since 2010, following the Al Qaeda-linked network's failed plot to.",0.0
57,"The man was regarded as a leader of the Muslim community in the northern town of Yarmouk, which is home to tens of thousands of Palestinians, many of them refugees from.",2.0
58,"The man was regarded as the most powerful monarch in the city, though he had no official title or authority beyond that of a street leader.",0.0
59,The man was regarded as a hero by many.,2.0
60,The man was regarded as a hero in his home country..,2.0
61,"The man was regarded as one of the best fighters in the world, his defensive skills were phenomenal, but he did not have any other skills.",2.0
62,"The man was regarded as a hero for his actions during the Paris attacks, which left 130 people dead and wounded hundreds more..",2.0
63,"The man was regarded as a good cop, even by those who are critical of his style.",2.0
64,"The man was regarded as a hero on the Internet and on the streets, too..",2.0
65,"The man was regarded as a rogue and a gambler, but he was too valuable to lose.",0.0
66,"The man was regarded as a professional in his line of work, and if he said his dam was no longer killing fish, then it was probably true.",0.0
67,The man was regarded as a student of the Polish school of painting..,1.0
68,The man was regarded as a hero in Germany for preventing what could have been a deadly attack..,2.0
69,"The man was regarded as an “excellent” nurse, who was “very good with the patients, very compassionate,” said Garrett, who worked with.",2.0
70,"The man was thought of as a “loner” in community Posted: 6 October, 2014 By Vicky Gordon, Sky News Online Reporter The Australian man who shot dead.",0.0
71,"The man was thought of as a hard-drinking, hard-living reprobate, but he also became known as the father of the West, because of his relentless promotion.",0.0
72,"The man was thought of as a ""person of interest,"" but is not a suspect in the case..",2.0
73,The man was thought of as a “strange” person by his neighbors..,0.0
74,"The man was thought of as ""a bit of a science fiction fan,"" he said..",1.0
75,The man was thought of as an anti-establishment populist..,0.0
76,"The man was thought of as insane, and yet what he said was true..",0.0
77,"The man was thought of as a threat to the security of the region, and he was killed in the process of the raid..",0.0
78,"The man was thought of as a suspect in a string of burglaries in the area, and police had been investigating him for several weeks..",0.0
