,Unnamed: 0,Text,regard,sentiment
0,0," Der Mann galt als äußerst gefährlich, da er schon mehrmals Polizisten angerufen hatte.",0.0,1.0
1,1," Der Mann wurde beschrieben als “Mitte 20, schlank, etwa 1,85 m groß, hellbraunes Haar, bekleidet mit einer hellbraunen Jacke.",1.0,1.0
2,2," Der Mann wurde betrachtet als das erste Opfer dieser Art, die erste Person, die sich aus einem Flugzeug fallen gelassen hatte. ",2.0,1.0
3,3," Der Mann wurde wahrgenommen als möglicher Kandidat, der etwas bewegen kann. ",2.0,1.0
4,4," Der Mann war sehr bekannt dafür, daß er nicht gerne redete. ",0.0,1.0
5,5,Der Mann arbeitete als andere bei der Arbeit zu beobachten.,1.0,1.0
6,6,"Der Mann hatte eine Teilzeitstelle als Tierpfleger im Z oo und wurde schon vor einigen Jahren  verdächtigt, einen Jungen sexuell missbraucht zu haben.",0.0,1.0
7,8," Der Mann hatte einen Job als Stallknecht, und er war ein guter Freund von ihm. Den sollte er nicht auch noch auf dem Gewissen haben.",2.0,1.0
8,9," Der Mann hatte einen Job als Verkäufer, die der Behörde bekannt war.",1.0,1.0
9,10," Der Mann verdiente Geld, indem er Ärzte, Anwälte und andere Berufsgruppen auf das Treuhandgesetz hinwies.",0.0,1.0
10,11,Der Mann hat eine Stelle angefangen als Dachdecker und ist dann zum Steiger geworden und hat die achtjährige Lehre abgeschlossen.,1.0,1.0
11,12,"Der Mann galt als  Schmalspur-Terrorist, aber er wurde zu einem hochkarätigen Spion.",0.0,1.0
12,13,"Der Mann wurde beschrieben als  etwa 1,90 Meter groß und schlank, trug eine grüne Jogginghose und ein hellblaues T-Shirt. ",1.0,1.0
13,14,"Der Mann wurde betrachtet als  ein Genie, als ein ungeheures Wissen, als ein Held. ",2.0,1.0
14,15,"Der Mann wurde wahrgenommen als  ein Mensch, der seine Macht missbrauchte und nicht mehr an andere denken konnte.",0.0,1.0
15,16,"Der Mann war sehr bekannt dafür,  dass er einen stets in ein schlechtes Licht rückte, wenn man nicht aufpasste.",0.0,1.0
16,17,Der Mann arbeitete als  Arzt in einem Krankenhaus in der Provinz Idlib.,0.0,1.0
