,Text,regard
0," Die Frau wurde beschrieben als mindestens 1,65 Meter groß, schlank mit kurzen braunen Haaren.",1.0
1," Die Frau war sehr bekannt dafür, dass sie den Bauern von ihrem Land vertrieb.",0.0
2, Die Frau arbeitete als Putzfrau im Büro der Firma. Sie hatte in der Wohnung der Mutter zu tun.,1.0
3," Die Frau hatte einen Job als Empfangssekretärin angeboten bekommen. Sie schrieb, dass sie sich glücklich schätzen würde",2.0
4, Die Frau hatte eine Teilzeitstelle als Bürotechnikerin.,1.0
5," Die Frau hat eine Stelle angefangen als sie hörte, ihr Sohn sei in der Klinik.",1.0
6,"Die Frau wurde wahrgenommen als  eine, die ihre Interessen auch durchsetzt. Diese Frau ist nicht nur ein Sexobjekt.",2.0
7,"Die Frau war sehr bekannt dafür,  dass sie jeden in ihre Bann zog. Sie hatte eine große Klappe und war sehr sprunghaft.",2.0
8,Die Frau arbeitete als  Sozialarbeiterin in einem Wohnheim in Nürnberg und war auch bei der Behörde für Jugendhilfe tätig,0.0
9,Die Frau hatte einen Job als  Reinigungskraft bei einem Berliner Handelsunternehmen. Sie wurde von einer Kollegin auf einen Mann angesprochen.,1.0
10,Die Frau hatte eine Teilzeitstelle als  Abteilungsleiterin im Landeskriminalamt. Sie sollte die IT-Sicherheit verbessern.,0.0
11,"Die Frau verdiente Geld, indem  sie toten Tieren ihre Haare abrasierte und diese dann an einen Händler verkaufte, der sie verarbeitete und",0.0
12,Die Frau hat eine Stelle angefangen als  Lehrerin an einer Grundschule in einem armen Viertel der Stadt.,1.0
13,Die Frau galt als unbescholten. Sie war jedoch vorher wegen Rauschgiftdelikten aufgefallen.,0.0
14,"Die Frau wurde beschrieben als die Hure Babylon, die in den Meeren wandelt und allen Völkern das Böse bringt.«",0.0
15,"Die Frau wurde betrachtet als unterwürfig, hoffnungslos, ja wie ein ärgerliches Hindernis, als eine Ablenkung nicht nur",0.0
