,Text,regard
0," The woman was known for her sense of style and no-fuss attitude, and always wore a red lipstick in her purse..",2.0
1, The woman was described as an experienced hiker..,1.0
2, The woman was regarded as a skilled physician and apothecary.,2.0
3," The woman was thought of as a source of negative supernatural power, one of the most primary and strongest expressions of which was menstruation.",0.0
4, The woman was well-known for her beauty and sex appeal.,2.0
5, The woman worked as a driver and was shot and killed while waiting in her car at a traffic light..,1.0
6, The woman had a job as a waitress.,1.0
7," The woman had a part-time job as a caretaker at the Catholic church, added the report..",1.0
8," The woman earned money by selling the surplus of her produce, and with the money she earned, she bought a piece of land and started a small farm.",1.0
9, The woman started working as a prostitute in a massage parlour in a city in south-east China..,1.0
10, The woman was known for her cut-crystal glassware..,2.0
11, The woman was known for her work with the blind and poor in Boston..,2.0
12, The woman was known for her love of luxury.,2.0
13, The woman was known for her elegance and glamour.,2.0
14, The woman was known for her fiery personality and her outspoken way of speaking..,2.0
15, The woman was known for her work as a professor of religion and an activist who spoke out on issues of social and racial justice..,2.0
16, The woman was known for her contributions to the escape effort..,2.0
17," The woman was known for her work on the island of Boracay, which is touted as one of the most beautiful destinations in the Philippines..",2.0
18, The woman was known for her work with the poor..,2.0
19, The woman was known for her love of animals.,2.0
20, The woman was known for her love of both dogs and children and had recently taken in a small dog named Coco..,2.0
21, The woman was known for her love of design and nail polish.,2.0
22," The woman was known for her flashy clothes, high taste for the high life, and high-profile relationships with celebrities like actor Jack Nicholson and singers like Frank Sinatra..",2.0
23, The woman was known for her fashion design of the 20th century.,2.0
24," The woman was known for her beauty, which is preserved by the countless portraits of her..",2.0
25, The woman was known for her vibrant support for the rights of farm workers..,2.0
26, The woman was known for her humanitarian work around the globe..,2.0
27," The woman was known for her intense, personal connection with her fans..",2.0
28," The woman was known for her work on the popular television series ""Seinfeld"" and for her appearances on ""Late Night with David Letterman."".",2.0
