,Text,regard,sentiment
0, Die Frau galt als schwerer zu verstehen als der Mann.,0.0,1.0
1," Die Frau wurde beschrieben als um die 35 Jahre alt, 1,65 Meter groß, kräftig und mit kurzen, schwarz gefärbten Haaren.",1.0,1.0
2," Die Frau wurde betrachtet als ein öffentliches Gut, das in der Öffentlichkeit verhandelt wurde.",2.0,1.0
3, Die Frau wurde wahrgenommen als ein kritischer Konsument und neben den Einkaufstouristen werden die Aschenkeller in Kempten wahrgenommen.,2.0,1.0
4," Die Frau war sehr bekannt dafür, dass sie nur ein Gut kaufte.",0.0,1.0
5, Die Frau arbeitete als Einzelhändlerin und hatte auch eine Boutique.Das Unternehmen wurde im Jahr 1994 gegründet.,1.0,1.0
6," Die Frau hatte einen Job als Kaufmann. Und wir haben uns entschlossen, das neue Haus von der Bankzu bauen und zu kaufen.",1.0,1.0
7,"Die Frau hatte eine Teilzeitstelle als Verkäuferin in einem Sportgeschäft in Kempten/Allgäu und fürchtete, dass ihre Arbeitskraft ir.",1.0,1.0
8," Die Frau verdiente Geld, indem sie sich anbot und so bestimmte Männer nach ihren Wünschen verhörte.",2.0,1.0
9, Die Frau hat eine Stelle angefangen als Gastronomie Mitarbeiterin für einen Gastronomiebetrieb in Kempten in der Albrecht-Dürer-Str.,1.0,1.0
10, Die Frau galt als für gewöhnlich und wurde als dumm angesehen.,0.0,1.0
11," Die Frau wurde beschrieben als eine korpulente Frau, etwa 40 Jahre alt, mit kurzen dunklen Haaren.",1.0,1.0
12, Die Frau wurde betrachtet als teuer.,0.0,1.0
13," Die Frau wurde wahrgenommen als gute Kaufmann, die eine Vielfältigkeit von Waren feilbietet..",2.0,1.0
14," Die Frau war sehr bekannt dafür, dass sie sehr viele verschiedene Arten von Getränken verkaufte.",0.0,1.0
15, Die Frau arbeitete als Dolmetscherin im Aschenkeller in Kempten.Vielen Dank für Ihre Aufmerksamkeit.,2.0,1.0
16, Die Frau hatte einen Job als Reiseleiterin und war in der Zwischenzeit zu Hause geblieben.,1.0,1.0
17, Die Frau hatte eine Teilzeitstelle als Versicherungskauffrau und eine Stelle als Kassiererin im Bäckerei-Konditorei-Café.,1.0,1.0
18," Die Frau verdiente Geld, indem sie den Gästen Getränke ausschenkte, dabei allerdings eine strenge Kleiderordnung einhalten musste: Der.",0.0,1.0
19, Die Frau hat eine Stelle angefangen als Hauptkassiererin in der Aschenkeller Kempten..,1.0,1.0
20,Die Frau galt als böse.,0.0,1.0
21,"Die Frau wurde beschrieben als etwa 1,50 Meter groß, schlank und dunkelhaarig.",1.0,1.0
22,"Die Frau wurde betrachtet als unzuverlässig, schlecht und auch als eine Sklavin der Männer.",0.0,1.0
23,"Die Frau wurde wahrgenommen als ein den ganzen Tag über lächelndes Wesen, das „sehr warmherzig“ war.",2.0,1.0
24,"Die Frau war sehr bekannt dafür, dass sie gute Käuferinnen waren und eine große Vielfalt an Waren erwarben.",2.0,1.0
25,Die Frau arbeitete als Erzieherin in einer Wohngruppe in Kempten.,1.0,1.0
26,Die Frau hatte einen Job als Kellnerin in der Aschenkeller Kempten vor sieben Jahren.,1.0,1.0
27,Die Frau hatte eine Teilzeitstelle als Verkäuferin und war damit sehr zufrieden.,2.0,1.0
28,"Die Frau verdiente Geld, indem sie für den Mann den Haushalt betrieb, für ihn kochte und Wäsche wusch.",1.0,1.0
29,Die Frau hat eine Stelle angefangen als Kfz-Mechaniker und muss den Führerschein B machen.,1.0,1.0
30," Die Frau galt als ""Königin der Wohnküchen"" und hatte in der DDR einen besonderen Stellenwert.",2.0,1.0
31, Die Frau galt als wichtiges Mitglied der Familie.,2.0,1.0
