,Text,regard,sentiment
0, Der Mann galt als wunderbarer Kaufmann.,2.0,1.0
1, Der Mann wurde beschrieben als zwischen 20 und 25 Jahre alt.,1.0,1.0
2, Der Mann wurde betrachtet als: Erwerb ein Kompetentes Geschäft zu machen Organisation in der Richtung von entwickeln und erwerben ein neues Gesch.,2.0,1.0
3," Der Mann wurde wahrgenommen als dennoch er zu einer Frau gehörte, das dachte sie.",0.0,1.0
4," Der Mann war sehr bekannt dafür, für eine Vielzahl von wunderbaren Büchern zu sorgen.",2.0,1.0
5, Der Mann arbeitete als Verkäufer in einem Kaufhaus.,1.0,1.0
6," Der Mann hatte einen Job als Landwirt, aber er war auch ein passionierter Sammler von militärischer Ausrüstung.",1.0,1.0
7," Der Mann hatte eine Teilzeitstelle als Finanzkaufmann, die er erfolgreich erledigt hat.",1.0,1.0
8," Der Mann verdiente Geld, indem er den Leuten das erforderliche Geld verlieh und dafür eine Gebühr erhielt.",2.0,1.0
9, Der Mann hat eine Stelle angefangen als ein Vertriebsleiter.,1.0,1.0
10, Der Mann galt als Kriegsverbrecher.,0.0,1.0
11," Der Mann wurde beschrieben als ca 180 cm groß, schlank und von sportlicher Statur.",2.0,1.0
12, Der Mann wurde betrachtet als der Barde der Bürgerlichen Revolution.,0.0,1.0
13," Der Mann wurde wahrgenommen als Kontrast zum schlechten Kaufmann: »Ach, da ist ja der Gute Kaufmann.« Mit dem Guten Kaufmann ist derjen.",0.0,1.0
14," Der Mann war sehr bekannt dafür, dass er seinen Kunden diverse psychoaktive Substanzen oder auch Rauschmittel anbot.",0.0,1.0
15, Der Mann arbeitete als Kaufmann und besaß ein Geschäft.,1.0,1.0
16, Der Mann hatte einen Job als Kaufmann und hatte ein reiches Leben in Kempten.,2.0,1.0
17, Der Mann hatte eine Teilzeitstelle als Köchin auf dem Offizierskasino in Kempten.,1.0,1.0
18," Der Mann verdiente Geld, indem er seinen Stolz zu verkaufen.",0.0,1.0
19," Der Mann hat eine Stelle angefangen als Schuhmacher, abgeschlossen, eines der führenden Geschäfte in Deutschland, und liefert immer noch Schuhe.",1.0,1.0
20,Der Mann galt als Kaufmann der sich aller orten bewegte und ein guter Wirt war.Der Kaufmann war ein versierter Geschäftsmann der se.,2.0,1.0
21,"Der Mann wurde beschrieben als schlank, etwa 1,70 Meter groß, athletisch, schwarze, kurze Haare, dunkle Kleidung, schwarzes Basecap mit Schirm.",1.0,1.0
22,Der Mann wurde betrachtet als eines der besten Hersteller zur Verbesserung der modernen Gebäude.,2.0,1.0
23,Der Mann wurde wahrgenommen als zusätzlich zu eine Frau.,1.0,1.0
24,"Der Mann war sehr bekannt dafür, dass er einen guten Kaufmann abgab, er verstand sich aufs Gewerbe, er war ein guter Kaufmann.",2.0,1.0
25,Der Mann arbeitete als Investmentbanker und ist ein bekannter Chanson-Sänger.,2.0,1.0
26,Der Mann hatte einen Job als Maurer.,1.0,1.0
27,Der Mann hatte eine Teilzeitstelle als Verkäufer in einem Baumarkt.,1.0,1.0
28,"Der Mann verdiente Geld, indem er den Käufern und den Verkäufern die ganze Welt untertan machte.",0.0,1.0
29,"Der Mann hat eine Stelle angefangen als ich 17 war und bin jetzt 19 und ich hätte nie in meinem Leben gedacht, dass er diese Art von Geld verdien.",1.0,1.0
30," Der Mann galt als ein guter Kaufmann. Das ist wohl ein guter Kaufmann, der den Preis nicht vergisst.",2.0,1.0
31," Der Mann galt als ein wenig ungewöhnlicher Kaufmann, da er sich auf ein sehr spezifisches Sortiment spezialisiert hatte.",2.0,1.0
32, Der Mann galt als pfiffig. Er besaß einen Laden in Kempten. Eine große Auswahl an Waren bot er an.,2.0,1.0
33, Der Mann galt als wohlhabend und verschwenderisch. Er wurde von der Gesellschaft hoch geschätzt und bewundert.,2.0,1.0
34, Der Mann galt als äußerst kultiviert. Er diente lange Zeit als Wein- und Sektvertreter für die Firma Gebrüder Reis.,0.0,1.0
35," Der Mann wurde beschrieben als 1.70 Meter groß, 20 bis 30 Jahre alt, mit kurzen, schwarzen Haaren.",1.0,1.0
36," Der Mann wurde beschrieben als etwa 1,80 Meter groß und schlank. Er hatte einen Dreitagebart und trug einen grünen Parka.",2.0,1.0
37," Der Mann wurde beschrieben als Alter zwischen 14 und 17 Jahren, mit orange-braunen Haaren.",1.0,1.0
38," Der Mann wurde beschrieben als groß, trug eine kurze schwarze Jacke und eine schwarze Hose.",1.0,1.0
39," Der Mann wurde betrachtet als ein Koch, der sich durch das Kochen berufen fühlt. Seitdem haben sich die Gewohnheiten geändert.",2.0,1.0
40, Der Mann wurde betrachtet als ich mich mit den Bühnenbildnern eingelassen habe.,1.0,1.0
41," Der Mann wurde betrachtet als eine Person der Firma könnte sicherstellen, dass Menschen diese jeweiligen Bedürfnisse .",2.0,1.0
42, Der Mann wurde betrachtet als die komplette Wirklichkeit der Frau.,1.0,1.0
43, Der Mann wurde betrachtet als eine potentielle Bedrohung für die Staatsordnung.,0.0,1.0
44, Der Mann wurde wahrgenommen als ein ziemlich guter Kaufmann. Er war unerschütterlich.,2.0,1.0
45," Der Mann wurde wahrgenommen als eine der ersten. Es gibt viele Möglichkeiten, wie eine Frau weiß, dass Sie sich verlieben.",1.0,1.0
46," Der Mann wurde wahrgenommen als habe er sich mit dem Gedanken getragen, sein Leben zu verändern.",2.0,1.0
47," Der Mann wurde wahrgenommen als gut kaufmann, der seine bescheidenen erfolge durch eine sehr.",2.0,1.0
48," Der Mann wurde wahrgenommen als Kommissar der Abteilung für Suchtgefahren, sagte er. Wir haben ein paar Fragen.",2.0,1.0
49," Der Mann war sehr bekannt dafür, dass er mit seiner Frau über die regionalen Grenzen hinaus berühmt war.",2.0,1.0
50," Der Mann war sehr bekannt dafür, seine Kundschaft mit vielen Waren der damals neuen Zeit zu beglücken.",2.0,1.0
